PlayerID,PlayerName,Position
2064,Wayne Rooney,Forward
2622,Gabriel Agbonlahor,Forward
4316,Raheem Sterling,Forward
3960,Harry Kane,Forward
1629,Peter Crouch,Forward
4539,Wilfried Zaha,Forward
2839,Theo Walcott,Forward
1526,Jermain Defoe,Forward
8979,Jamie Vardy,Forward
4290,Romelu Lukaku,Forward
6519,Sadio Mané,Forward
4328,Sergio Agüero,Forward
4503,Eden Hazard,Forward
4492,Christian Benteke,Forward
2616,Robin van Persie,Forward
3206,Shane Long,Forward
8983,Riyad Mahrez,Forward
3247,Dimitar Berbatov,Forward
13511,Roberto Firmino,Forward
1249,Kevin Davies,Forward
2845,Emmanuel Adebayor,Forward
2047,Jonathan Walters,Forward
3121,Clint Dempsey,Forward
2098,Darren Bent,Forward
4748,Willian,Forward
4999,Son Heung-Min,Forward
5178,Mohamed Salah,Forward
3452,Danny Welbeck,Forward
1135,Nicolas Anelka,Forward
3420,Fernando Torres,Forward
9595,Michail Antonio,Forward
3281,Carlos Tevez,Forward
5595,Jordan Ayew,Forward
3926,Joshua King,Forward
4481,Olivier Giroud,Forward
2603,Bobby Zamora,Forward
4823,Marko Arnautovic,Forward
24630,Richarlison,Forward
2662,Didier Drogba,Forward
3175,Andy Carroll,Forward
10487,Ayoze Pérez,Forward
13565,Marcus Rashford,Forward
3851,Jay Rodriguez,Forward
2796,Kenwyne Jones,Forward
8454,Callum Wilson,Forward
3850,Steven Fletcher,Forward
3205,Kevin Doyle,Forward
9947,Troy Deeney,Forward
3513,Gareth Bale,Forward
2530,Cameron Jerome,Forward
2705,Tim Cahill,Forward
3756,Chris Wood,Forward
8246,Ashley Barnes,Forward
8245,Danny Ings,Forward
2058,Carlton Cole,Forward
4973,Alexis Sánchez,Forward
11272,Anthony Martial,Forward
6030,Salomón Rondón,Forward
3154,Daniel Sturridge,Forward
24797,Dwight McNeil,Forward
4717,Alexander Iwobi,Forward
908,Emile Heskey,Forward
2553,Yakubu,Forward
9576,Dominic Calvert-Lewin,Forward
2522,Cristiano Ronaldo,Forward
3780,Hugo Rodallega,Forward
2695,Andrew Johnson,Forward
6899,Alexandre Lacazette,Forward
5110,Pierre-Emerick Aubameyang,Forward
11071,Raúl Jiménez,Forward
10498,Dusan Tadic,Forward
4138,Luis Suárez,Forward
2905,Victor Anichebe,Forward
3925,Mame Biram Diouf,Forward
19680,Gabriel Jesus,Forward
1692,Robbie Keane,Forward
1869,Craig Bellamy,Forward
1598,Louis Saha,Forward
4979,Adama Traoré,Forward
4507,Kevin Mirallas,Forward
4763,Yannick Bolasie,Forward
4204,Peter Odemwingie,Forward
3065,John Carew,Forward
3583,Johan Elmander,Forward
2385,Jason Roberts,Forward
4972,Pedro,Forward
19758,Diogo Jota,Forward
7946,Demarai Gray,Forward
2945,Fraizer Campbell,Forward
4161,Chicharito,Forward
5762,Lucas Moura,Forward
4346,Papiss Demba Cissé,Forward
16256,Neal Maupay,Forward
4772,Glenn Murray,Forward
4941,Diego Costa,Forward
4205,Saido Berahino,Forward
20486,Leandro Trossard,Forward
4627,Rickie Lambert,Forward
4777,Gerard Deulofeu,Forward
49481,Bukayo Saka,Forward
3461,Tuncay Sanli,Forward
20607,Joelinton,Forward
4296,Nikica Jelavic,Forward
3803,Andreas Weimann,Forward
3080,Benni McCarthy,Forward
4151,Edin Dzeko,Forward
4788,George Boyd,Forward
1962,Shola Ameobi,Forward
3176,Obafemi Martins,Forward
5879,Aleksandar Mitrovic,Forward
4213,Demba Ba,Forward
2844,Nicklas Bendtner,Forward
3863,Fabio Borini,Forward
13554,Kelechi Iheanacho,Forward
4838,Wilfried Bony,Forward
2531,Danny Graham,Forward
8868,Jarrod Bowen,Forward
4396,Connor Wickham,Forward
2969,Benjani,Forward
3366,Franco Di Santo,Forward
9468,Charlie Austin,Forward
8658,Ollie Watkins,Forward
12817,Allan Saint-Maximin,Forward
5594,André Ayew,Forward
5169,Teemu Pukki,Forward
2892,Scott Sinclair,Forward
4771,Dwight Gayle,Forward
5384,Leroy Sané,Forward
4510,Steven Naismith,Forward
2787,Ricardo Fuller,Forward
3346,Roque Santa Cruz,Forward
4039,Marouane Chamakh,Forward
9060,Andre Gray,Forward
10905,Che Adams,Forward
4527,Jordon Ibe,Forward
10502,Graziano Pellè,Forward
1502,Kanu,Forward
3478,David Nugent,Forward
1208,Michael Owen,Forward
24156,Raphinha,Forward
13278,Ademola Lookman,Forward
13494,Shinji Okazaki,Forward
4363,Grant Holt,Forward
4701,Arouna Koné,Forward
3207,Dave Kitson,Forward
13286,Tammy Abraham,Forward
1656,Jérémie Aliadière,Forward
1309,Darius Vassell,Forward
2195,Craig Fagan,Forward
4007,Sam Vokes,Forward
4805,Álvaro Negredo,Forward
4572,Loïc Rémy,Forward
10957,Odion Ighalo,Forward
3939,Frédéric Piquionne,Forward
25266,Mason Greenwood,Forward
3650,David N'Gog,Forward
3754,Marc-Antoine Fortuné,Forward
1909,Mark Viduka,Forward
50252,Nicolas Pépé,Forward
4659,Michu,Forward
4291,Patrick Bamford,Forward
3270,Marlon King,Forward
2340,David McGoldrick,Forward
1799,Tommy Smith,Forward
2723,Djibril Cissé,Forward
2402,Brian McBride,Forward
8174,Leonardo Ulloa,Forward
1005,James Beattie,Forward
4095,Rodrigo,Forward
10541,Enner Valencia,Forward
21998,Pedro Neto,Forward
4152,Mario Balotelli,Forward
3728,Roman Pavlyuchenko,Forward
49796,Ismaïla Sarr,Forward
23599,Timo Werner,Forward
4381,Jamie Mackie,Forward
5907,Bernard,Forward
1382,Marcus Bent,Forward
8192,Bobby De Cordova-Reid,Forward
8107,Oliver McBurnie,Forward
3473,John Utaka,Forward
10540,Diafra Sakho,Forward
22570,Steve Mounié,Forward
20517,Saïd Benrahma,Forward
3897,Jozy Altidore,Forward
10465,Divock Origi,Forward
2746,Sylvan Ebanks-Blake,Forward
4898,Bojan,Forward
6425,Joselu,Forward
3204,Leroy Lita,Forward
5551,Fernando Llorente,Forward
13390,Oumar Niasse,Forward
6900,Bafétimbi Gomis,Forward
3484,Hal Robson-Kanu,Forward
23702,Callum Hudson-Odoi,Forward
4480,Lukas Podolski,Forward
2815,Mido,Forward
2424,Luke Moore,Forward
49761,Sébastien Haller,Forward
3661,Robinho,Forward
5079,Ivan Cavaleiro,Forward
13285,Kenedy,Forward
2789,Diomansy Kamara,Forward
3829,Ivan Klasnic,Forward
5804,Álvaro Morata,Forward
4306,Pavel Pogrebnyak,Forward
1609,Marlon Harewood,Forward
2861,DJ Campbell,Forward
4040,Benik Afobe,Forward
10394,Bertrand Traoré,Forward
9246,Ivan Toney,Forward
1791,Heidar Helguson,Forward
3708,Mamady Sidibe,Forward
16747,Laurent Depoitre,Forward
3460,Afonso Alves,Forward
23747,Anthony Gordon,Forward
2447,Ricardo Vaz Tê,Forward
12212,José Izquierdo,Forward
10460,Abel Hernández,Forward
4846,Roberto Soldado,Forward
19603,Lys Mousset,Forward
4255,Gervinho,Forward
2985,Daryl Murphy,Forward
20701,Emmanuel Dennis,Forward
2589,Kenny Miller,Forward
10443,Dominic Solanke,Forward
4365,Steve Morison,Forward
12114,Cenk Tosun,Forward
3106,Andriy Shevchenko,Forward
5772,Zlatan Ibrahimovic,Forward
2437,Matt Derbyshire,Forward
2830,Robert Hulse,Forward
5064,Hélder Costa,Forward
19611,Elias Kachunga,Forward
3825,Nikola Kalinic,Forward
2590,Henri Camara,Forward
20723,Steven Alzate,Forward
2513,Antoine Sibierski,Forward
4086,Gary Taylor-Fletcher,Forward
12703,Steven Bergwijn,Forward
3514,Kevin-Prince Boateng,Forward
3606,Jô,Forward
6393,Dieumerci Mbokani,Forward
10532,Tyler Roberts,Forward
3688,Peter Løvenkrands,Forward
7450,Michy Batshuayi,Forward
4725,Callum Robinson,Forward
3778,Amr Zaki,Forward
12639,Manolo Gabbiadini,Forward
1804,Richard Garcia,Forward
11191,Eric Choupo-Moting,Forward
2778,Dean Ashton,Forward
2066,Tomasz Radzinski,Forward
4188,Asamoah Gyan,Forward
4740,Rudy Gestede,Forward
4176,Sammy Ameobi,Forward
2128,Michael Chopra,Forward
10520,Modou Barrow,Forward
21653,Aaron Connolly,Forward
3272,Darius Henderson,Forward
2862,Sone Aluko,Forward
1542,Gary McSheffrey,Forward
5771,Edinson Cavani,Forward
6389,Andriy Yarmolenko,Forward
13225,Sergi Canós,Forward
4751,Samuel Eto'o,Forward
3318,Eduardo da Silva,Forward
3338,Mauro Zárate,Forward
4087,Luke Varney,Forward
4812,Gary Hooper,Forward
2930,Georgios Samaras,Forward
10654,Karlan Grant,Forward
22046,Callum Paterson,Forward
31442,Armando Broja,Forward
14451,Eddie Nketiah,Forward
10336,Duncan Watmore,Forward
3814,Christian Benitez,Forward
66670,Fábio Silva,Forward
2797,Leon Best,Forward
13793,Wahbi Khazri,Forward
14801,Jadon Sancho,Forward
3772,David Di Michele,Forward
3972,Alessandro Diamanti,Forward
3889,Stefano Okaka,Forward
15480,Alireza Jahanbakhsh,Forward
1432,Erik Nevland,Forward
20337,Hwang Hee-Chan,Forward
15580,Wesley Moraes,Forward
4626,Billy Sharp,Forward
10461,Dame N'Doye,Forward
2101,Caleb Folan,Forward
1538,Mikael Forssell,Forward
3381,Giles Barnes,Forward
11364,Islam Slimani,Forward
3635,Daniel Cousin,Forward
72371,João Pedro,Forward
1659,Thierry Henry,Forward
9199,Adam Armstrong,Forward
1725,Danny Webber,Forward
43098,Ferran Torres,Forward
19618,Isaac Success,Forward
3155,Bernardo Corradi,Forward
2931,Ishmael Miller,Forward
51209,Joshua Sargent,Forward
4214,Victor Obinna,Forward
3153,Emile Mpenza,Forward
16788,Odsonne Édouard,Forward
7124,Jürgen Locadia,Forward
3079,Shabani Nonda,Forward
4791,Yannick Sagbo,Forward
3984,Jason Scotland,Forward
1724,David Healy,Forward
3208,Simon Cox,Forward
10477,Radamel Falcao,Forward
1843,Juan Pablo Ángel,Forward
3227,Colin Kazim-Richards,Forward
7120,Memphis Depay,Forward
4592,Adam Le Fondre,Forward
3899,Jan Vennegoor of Hesselink,Forward
2111,Milan Baros,Forward
3940,Aruna Dindane,Forward
3337,Garry O'Connor,Forward
1449,Richard Cresswell,Forward
20261,Wout Weghorst,Forward
4690,Modibo Maiga,Forward
3852,Martin Paterson,Forward
4491,Brett Holman,Forward
12322,Takumi Minamino,Forward
3521,Freddie Sears,Forward
4811,Ricky van Wolfswinkel,Forward
3536,Steve Howard,Forward
4116,Jermaine Beckford,Forward
5696,Eduardo Vargas,Forward
3970,Guillermo Franco,Forward
49259,Anthony Elanga,Forward
20874,Jean-Philippe Mateta,Forward
3757,Roman Bednar,Forward
13573,Cristhian Stuani,Forward
2658,Arjen Robben,Forward
4364,Simeon Jackson,Forward
1658,Jay Bothroyd,Forward
67454,Trincão,Forward
3421,Andrey Voronin,Forward
4051,Nikola Zigic,Forward
21677,Collin Quaner,Forward
6390,Brown Ideye,Forward
10488,Emmanuel Rivière,Forward
5650,M'Baye Niang,Forward
2707,James Vaughan,Forward
5548,Mbaye Diagne,Forward
23199,Marco Stiepermann,Forward
12983,Adama Diomande,Forward
24994,Patson Daka,Forward
4806,Stevan Jovetic,Forward
31905,Cucho Hernández,Forward
3050,Julio Baptista,Forward
14742,Rhian Brewster,Forward
5806,Willian José,Forward
1413,Jimmy Floyd Hasselbaink,Forward
5698,Gonzalo Higuaín,Forward
3679,Marvin Emnes,Forward
2436,Jon Stead,Forward
4226,Conor Sammon,Forward
4724,Libor Kozák,Forward
3440,Felipe Caicedo,Forward
7122,Luciano Narsingh,Forward
1217,Ole Gunnar Solskjaer,Forward
2843,Carlos Vela,Forward
3771,Zavon Hines,Forward
11267,Aboubakar Kamara,Forward
725,Andrew Cole,Forward
3392,Lukas Jutkiewicz,Forward
1118,Jason Euell,Forward
12949,Luciano Vietto,Forward
20646,Isaac Mbenza,Forward
1768,Kevin Phillips,Forward
66669,Luis Díaz,Forward
4593,Noel Hunt,Forward
20490,Mbwana Samatta,Forward
37587,Florin Andone,Forward
2472,Collins John,Forward
1959,Lomana Lua Lua,Forward
4521,Mladen Petric,Forward
4254,Joel Campbell,Forward
2819,Robert Earnshaw,Forward
2048,Henrik Pedersen,Forward
3380,Emanuel Villa,Forward
3233,Christian Nade,Forward
8055,Lewis Grabban,Forward
15481,Vincent Janssen,Forward
3566,Nathan Delfouneso,Forward
14450,Reiss Nelson,Forward
21532,Michael Obafemi,Forward
1866,Eidur Gudjohnsen,Forward
4819,Daniel Osvaldo,Forward
20958,Moise Kean,Forward
13234,Tomer Hemed,Forward
24641,Adam Idah,Forward
3167,Lee Dong-Gook,Forward
